neighborhood,roomType,countRoomType,sumReviews,avgPrice,avgBedrooms,avgAccommodates
Alameda,Entire home/apt,33,1400,183.24,1.85,5
Alameda,Private room,27,1002,75.22,1,2.19
Alameda,Total,60,2402,134.63,1.47,3.73
Arbor Lodge,Entire home/apt,36,952,121.47,1.36,3.97
Arbor Lodge,Private room,25,1012,73.08,1,2.6
Arbor Lodge,Total,61,1964,101.64,1.21,3.41
Ardenwald,Entire home/apt,2,48,122.5,1,3.5
Ardenwald,Private room,3,10,73,1,3
Ardenwald,Total,5,58,92.8,1,3.2
Argay,Entire home/apt,3,37,125,3,6.67
Argay,Private room,5,105,64.6,1,2.4
Argay,Total,8,142,87.25,1.75,4
Boise,Entire home/apt,113,5831,149.62,1.73,4.51
Boise,Private room,42,2051,67.69,1,2.38
Boise,Shared room,7,308,36.86,1,2.71
Boise,Total,162,8190,123.51,1.51,3.88
Brentwood-Darlington,Entire home/apt,7,299,120.14,1.86,5.14
Brentwood-Darlington,Private room,9,232,64.89,1,2.33
Brentwood-Darlington,Shared room,1,1,55,1,1
Brentwood-Darlington,Total,17,532,87.06,1.35,3.41
Bridgeton,Entire home/apt,10,71,175,1.7,4
Bridgeton,Private room,1,11,75,1,2
Bridgeton,Total,11,82,165.91,1.64,3.82
Bridlemile,Entire home/apt,8,346,109.88,0.88,2.88
Bridlemile,Private room,5,72,75.2,1,2
Bridlemile,Total,13,418,96.54,0.92,2.54
Brooklyn,Entire home/apt,27,1027,119.22,1.67,4.26
Brooklyn,Private room,16,632,60.81,1,2.06
Brooklyn,Shared room,1,2,30,1,1
Brooklyn,Total,44,1661,95.95,1.41,3.39
Buckman,Entire home/apt,106,4178,151.68,1.29,3.95
Buckman,Private room,36,1094,73.72,1,2.14
Buckman,Shared room,2,8,30.5,1,1.5
Buckman,Total,144,5280,130.51,1.22,3.47
Cathedral Park,Entire home/apt,30,662,121.33,1.8,4.47
Cathedral Park,Private room,22,722,59.14,1,2.14
Cathedral Park,Total,52,1384,95.02,1.46,3.48
Centennial,Entire home/apt,2,17,68,0.5,2.5
Centennial,Private room,6,40,37.17,1,2.17
Centennial,Shared room,1,0,45,1,3
Centennial,Total,9,57,44.89,0.89,2.33
Center,Entire home/apt,39,1084,165.21,1.54,4.08
Center,Private room,22,613,72.55,1,2.09
Center,Total,61,1697,131.79,1.34,3.36
Central Beaverton,Entire home/apt,7,207,124.86,2,4
Central Beaverton,Total,7,207,124.86,2,4
Concordia,Entire home/apt,106,4289,140.42,1.54,4.2
Concordia,Private room,55,2308,73.05,1,2.25
Concordia,Total,161,6597,117.4,1.35,3.53
Corbett-Terwilliger-Lair Hill,Entire home/apt,25,347,128.32,1.6,3.92
Corbett-Terwilliger-Lair Hill,Private room,22,834,70.91,1,1.91
Corbett-Terwilliger-Lair Hill,Total,47,1181,101.45,1.32,2.98
Creston-Kenilworth,Entire home/apt,19,539,138.16,1.84,4.32
Creston-Kenilworth,Private room,23,1202,61.61,1,2.13
