neighborhood,room_type,COUNTA of room_type,SUM of reviews,AVERAGE of price,AVERAGE of bedrooms,AVERAGE of accommodates
Alameda,Entire home/apt,38,1671,162.66,2.00,4.74
Alameda,Private room,26,1198,67.42,1.00,2.15
Alameda Total,,64,2869,123.97,1.59,3.69
Arbor Lodge,Entire home/apt,35,1137,104.51,1.31,3.83
Arbor Lodge,Private room,23,998,58.52,1.00,2.26
Arbor Lodge Total,,58,2135,86.28,1.19,3.21
Ardenwald,Entire home/apt,2,68,105.00,1.00,3.50
Ardenwald,Private room,2,3,74.50,1.00,2.50
Ardenwald Total,,4,71,89.75,1.00,3.00
Argay,Entire home/apt,1,7,85.00,3.00,5.00
Argay,Private room,6,126,49.67,1.00,2.33
Argay Total,,7,133,54.71,1.29,2.71
Boise,Entire home/apt,118,6790,127.03,1.65,4.27
Boise,Private room,44,2243,62.95,1.00,2.36
Boise,Shared room,10,400,34.50,1.00,1.00
Boise Total,,172,9433,105.26,1.45,3.59
Brentwood-Darlington,Entire home/apt,12,352,93.17,1.58,4.50
Brentwood-Darlington,Private room,10,253,61.60,1.00,2.00
Brentwood-Darlington,Shared room,2,1,35.00,1.00,1.00
Brentwood-Darlington Total,,24,606,75.17,1.29,3.17
Bridgeton,Entire home/apt,8,78,153.38,1.63,3.88
Bridgeton,Private room,3,15,97.67,1.00,2.00
Bridgeton Total,,11,93,138.18,1.45,3.36
Bridlemile,Entire home/apt,4,313,102.00,0.75,2.75
Bridlemile,Private room,4,114,65.50,1.00,2.00
Bridlemile Total,,8,427,83.75,0.88,2.38
Brooklyn,Entire home/apt,30,1193,107.63,1.67,4.50
Brooklyn,Private room,15,799,59.80,1.00,2.07
Brooklyn,Shared room,1,19,25.00,1.00,1.00
Brooklyn Total,,46,2011,90.24,1.43,3.63
Buckman,Entire home/apt,103,5034,143.79,1.30,4.04
Buckman,Private room,28,1072,60.68,1.00,2.11
Buckman,Shared room,2,0,87.50,1.00,1.50
Buckman Total,,133,6106,125.44,1.23,3.59
Cathedral Park,Entire home/apt,31,603,104.06,1.68,4.13
Cathedral Park,Private room,28,790,51.57,1.00,2.11
Cathedral Park Total,,59,1393,79.15,1.36,3.17
Centennial,Entire home/apt,2,1,110.00,2.00,4.50
Centennial,Private room,6,134,65.67,1.00,2.50
Centennial,Shared room,2,16,37.50,1.00,2.00
Centennial Total,,10,151,68.90,1.20,2.80
Center,Entire home/apt,47,1338,138.72,1.60,3.91
Center,Private room,21,641,62.90,0.95,2.00
Center Total,,68,1979,115.31,1.40,3.32
Central Beaverton,Entire home/apt,6,270,117.33,1.50,4.00
Central Beaverton,Private room,3,11,56.00,1.00,2.67
Central Beaverton Total,,9,281,96.89,1.33,3.56
Concordia,Entire home/apt,114,4816,124.01,1.50,3.96
Concordia,Private room,51,2637,71.16,0.96,2.27
Concordia Total,,165,7453,107.67,1.33,3.44
Corbett-Terwilliger-Lair Hill,Entire home/apt,29,350,126.93,1.59,4.00
Corbett-Terwilliger-Lair Hill,Private room,26,618,71.04,1.00,1.88
Corbett-Terwilliger-Lair Hill,Shared room,1,0,65.00,1.00,1.00
Corbett-Terwilliger-Lair Hill Total,,56,968,99.88,1.30,2.96
Creston-Kenilworth,Entire home/apt,20,698,120.10,1.80,4.40
Creston-Kenilworth,Private room,23,1251,53.00,1.00,2.22
Creston-Kenilworth Total,,43,1949,84.21,1.37,3.23
Cully,Entire home/apt,68,2921,111.31,1.43,3.93
Cully,Private room,42,2109,52.12,1.02,2.14
Cully Total,,110,5030,88.71,1.27,3.25
Denny Whitford,Entire home/apt,4,23,113.75,1.75,5.75
Denny Whitford Total,,4,23,113.75,1.75,5.75
Downtown,Entire home/apt,42,1560,152.31,1.24,3.86
Downtown,Private room,8,106,75.00,1.00,1.88
Downtown,Shared room,3,22,46.67,1.00,1.67
